epoch,step,train_acc,train_loss
0,49,0.1953125,2.2804505825042725
0,99,0.2890625,2.211737632751465
0,149,0.3125,2.066429615020752
0,199,0.3515625,1.876105785369873
0,249,0.2265625,2.1315863132476807
0,299,0.3203125,1.9307533502578735
0,349,0.3671875,1.842305302619934
1,399,0.46875,1.7797983884811401
1,449,0.3359375,1.846981167793274
1,499,0.421875,1.7657864093780518
1,549,0.5390625,1.5869697332382202
1,599,0.3984375,1.7620842456817627
1,649,0.4921875,1.68203866481781
1,699,0.4609375,1.6839687824249268
1,749,0.5,1.569368600845337
2,799,0.5703125,1.533565878868103
2,849,0.484375,1.588060736656189
2,899,0.515625,1.5334542989730835
2,949,0.5625,1.4063748121261597
2,999,0.40625,1.6604372262954712
2,1049,0.4453125,1.593888521194458
2,1099,0.5390625,1.4718748331069946
2,1149,0.5703125,1.4017070531845093
3,1199,0.578125,1.3888169527053833
3,1249,0.5859375,1.3621114492416382
3,1299,0.609375,1.401052713394165
3,1349,0.7109375,1.237042784690857
3,1399,0.5390625,1.5219213962554932
3,1449,0.6015625,1.4287298917770386
3,1499,0.5,1.4767543077468872
3,1549,0.59375,1.386382818222046
4,1599,0.59375,1.3035151958465576
4,1649,0.640625,1.310606598854065
4,1699,0.578125,1.3234690427780151
4,1749,0.65625,1.2668567895889282
4,1799,0.609375,1.3891657590866089
4,1849,0.625,1.3378987312316895
4,1899,0.6640625,1.2212985754013062
4,1949,0.6328125,1.3425086736679077
5,1999,0.6640625,1.22333824634552
5,2049,0.640625,1.353206753730774
5,2099,0.65625,1.20290207862854
5,2149,0.5859375,1.4226394891738892
5,2199,0.6328125,1.230766773223877
5,2249,0.6875,1.1792834997177124
5,2299,0.625,1.3087551593780518
6,2349,0.734375,1.137581467628479
6,2399,0.65625,1.2973636388778687
6,2449,0.6484375,1.242443561553955
6,2499,0.6796875,1.2336616516113281
6,2549,0.6640625,1.2138668298721313
6,2599,0.6796875,1.2341697216033936
6,2649,0.6640625,1.2616342306137085
6,2699,0.640625,1.2987656593322754
7,2749,0.671875,1.2800403833389282
7,2799,0.7265625,1.1408443450927734
7,2849,0.65625,1.2672392129898071
7,2899,0.7265625,1.2336318492889404
7,2949,0.7421875,1.07773756980896
7,2999,0.6796875,1.2564964294433594
7,3049,0.65625,1.2363215684890747
7,3099,0.65625,1.2343467473983765
8,3149,0.7109375,1.1853646039962769
8,3199,0.734375,1.10994553565979
8,3249,0.7578125,1.1184955835342407
8,3299,0.703125,1.1795650720596313
8,3349,0.7421875,1.1392306089401245
8,3399,0.765625,1.016961932182312
8,3449,0.640625,1.3267734050750732
8,3499,0.6796875,1.1367778778076172
9,3549,0.7109375,1.1326179504394531
9,3599,0.734375,1.082972526550293
9,3649,0.6796875,1.2420284748077393
9,3699,0.7265625,1.133394718170166
9,3749,0.7265625,1.1083471775054932
9,3799,0.8125,1.0553151369094849
9,3849,0.7421875,1.0978208780288696
9,3899,0.703125,1.1353591680526733
10,3949,0.71875,1.1324279308319092
10,3999,0.703125,1.1327916383743286
10,4049,0.703125,1.1311801671981812
10,4099,0.78125,1.0111668109893799
10,4149,0.765625,1.1104114055633545
10,4199,0.6640625,1.2057263851165771
10,4249,0.734375,1.1244500875473022
10,4299,0.8125,1.0599406957626343
11,4349,0.7265625,1.1471600532531738
11,4399,0.7578125,1.0189406871795654
11,4449,0.7890625,1.011308193206787
11,4499,0.765625,1.1045511960983276
11,4549,0.7265625,1.0635110139846802
11,4599,0.734375,1.0899263620376587
11,4649,0.7578125,1.0434426069259644
12,4699,0.7890625,1.0215100049972534
12,4749,0.78125,1.0165578126907349
12,4799,0.7265625,0.9941896796226501
12,4849,0.671875,1.1493005752563477
12,4899,0.765625,1.0829839706420898
12,4949,0.7734375,1.0488507747650146
12,4999,0.7109375,1.1730026006698608
12,5049,0.765625,1.0106000900268555
13,5099,0.78125,0.9920186400413513
13,5149,0.7890625,0.9885973334312439
13,5199,0.765625,1.0663236379623413
13,5249,0.7578125,1.0313467979431152
13,5299,0.828125,0.9316402673721313
13,5349,0.7890625,1.0239684581756592
13,5399,0.8203125,0.9623483419418335
13,5449,0.859375,0.9244248867034912
14,5499,0.78125,0.9745554327964783
14,5549,0.7421875,1.017110824584961
14,5599,0.7890625,0.9893063902854919
14,5649,0.8125,0.9279916882514954
14,5699,0.765625,1.0329149961471558
14,5749,0.84375,0.9411139488220215
14,5799,0.8125,0.9307988882064819
14,5849,0.875,0.8679798245429993
15,5899,0.7890625,1.074156403541565
15,5949,0.78125,0.9837379455566406
15,5999,0.78125,1.039368987083435
15,6049,0.7890625,0.9676269292831421
15,6099,0.84375,0.9022215008735657
15,6149,0.7421875,1.0219758749008179
15,6199,0.859375,0.8857020735740662
15,6249,0.8046875,0.9202292561531067
16,6299,0.78125,0.9958882331848145
16,6349,0.7265625,0.9901672005653381
16,6399,0.828125,0.909442663192749
16,6449,0.765625,0.9819667339324951
16,6499,0.765625,1.016170620918274
16,6549,0.828125,0.9322904944419861
16,6599,0.8046875,1.0065115690231323
17,6649,0.75,0.989854633808136
17,6699,0.828125,0.9148709774017334
17,6749,0.796875,1.0121742486953735
17,6799,0.7890625,0.9874092936515808
17,6849,0.8046875,0.9806903004646301
17,6899,0.8203125,0.9453508257865906
17,6949,0.7890625,0.9779630899429321
17,6999,0.8203125,0.9208971858024597
18,7049,0.7890625,0.9863448143005371
18,7099,0.8203125,0.9258449077606201
18,7149,0.7890625,1.005110502243042
18,7199,0.84375,0.9011561870574951
18,7249,0.84375,0.9060561060905457
18,7299,0.78125,0.9323181509971619
18,7349,0.8125,0.9591712951660156
18,7399,0.7734375,0.9962725639343262
19,7449,0.78125,1.0186582803726196
19,7499,0.734375,1.1008654832839966
19,7549,0.8046875,0.9542608261108398
19,7599,0.8125,0.9138271808624268
19,7649,0.8046875,1.0273605585098267
19,7699,0.7734375,0.9394485354423523
19,7749,0.7734375,0.9917638301849365
19,7799,0.8359375,0.9430965781211853
